Review #,Brand,Variety,Style,Country,Stars,T,T_year,T_rank,Flavor,Spicy
4257,Naked Noodles,chinese chow mein,Cup,United Kingdom,0.0,,,,,False
4256,Hai Chi Jia,jiao ma guo ma fen,Cup,China,5.0,,,,,False
4255,Ocean's Halo,plant based vegan chicken instant noodle soup,Bowl,United States,0.0,,,,Chicken,False
4254,Oyatsu,baby star crispy ramen snack,Pack,United States,5.0,,,,,False
4253,Mingzhu,konjac spicy sour noodles,Cup,China,2.0,,,,,True
4252,Naked Noodles,japanese teriyaki,Cup,United Kingdom,0.0,,,,Chicken,False
4251,Sichuan Baijia,chengdu sweet spicy noodle,Pack,China,5.0,,,,,True
4250,Mr. HOO,rice noodle soup pho flavor,Tray,United States,3.5,,,,,False
4249,Naked,thai style coconut lemongrass ramen noodles,Pack,United Kingdom,0.5,,,,,False
4248,Dian Zun,crossing the bridge noodle,Other,China,5.0,,,,,False
4247,Qinsheng,shaanxi cold noodle sout spicy flavor,Pack,China,5.0,,,,,True
4246,Ramen Express By Chef Woo,hot spicy shrimp flavor,Cup,United States,3.5,,,,Seafood,True
4245,Ramen Express By Chef Woo,hot spicy beef flavor,Cup,United States,3.75,,,,Beef,True
4244,Ramen Express By Chef Woo,hot spicy chicken flavor,Cup,United States,4.25,,,,Chicken,True
4243,Ramen Express By Chef Woo,magic noolde chicken flavor,Cup,United States,4.0,,,,Chicken,False
4242,Ramen Express By Chef Woo,lime chili shrimp flavor ramen,Cup,United States,3.75,,,,Seafood,False
4241,Samyang Foods,buldak quattro artificial spicy chicken flavor ramen,Pack,United States,5.0,,,,Chicken,True
4240,Samyang Foods,buldak habanero lime artificial spicy chicken flavor ramen,Pack,United States,4.0,,,,Chicken,True
4239,Sad Super Hot Noodles,spicy sour glass noodle soup,Pack,Taiwan,2.5,,,,,True
4238,MAMA,instant noodles chicken khao soi flavour,Pack,Thailand,5.0,,,,Chicken,False
4237,MAMA,instant whole wheat noodles black pepper pork flavour,Pack,Thailand,4.0,,,,Pork,True
4236,MAMA,instant dried jade noodles duck flavour,Pack,Thailand,3.75,,,,Duck,False
4235,Freshramen4all.com,tonkotsu ramen,Pack,United States,5.0,,,,Pork,False
4234,Ramen Express By Chef Woo,vegetarian soy sauce ramen,Pack,United States,4.5,,,,,False
4233,Nissin,assari donbe umadashi curry udon,Bowl,Japan,3.75,,,,,False
4232,Nissin,tsuruhashi fugetsu yakisoba,Tray,Japan,4.0,,,,,False
4231,Nissin,cup noodle ninniku tonkotsu,Cup,Japan,3.75,,,,Pork,False
4230,Maruchan,menzukuri ninniku kaoru shoyu tonkotsu,Bowl,Japan,5.0,,,,Pork,False
4229,Nissin,v f o katsu soba yakisoba,Tray,Japan,5.0,,,,,False
4228,Sapporo Ichiban,shio ramen donburi rishirikonbu jitate,Bowl,Japan,4.0,,,,,False
4227,Sakurai Foods,vegetarian miso ramen,Pack,Japan,5.0,,,,,False
4226,Sapporo Ichiban,garlic butter style shio karubi yakisoba,Tray,Japan,3.25,,,,,False
4225,Maruchan,hotnoodle neo shoyu ramen,Cup,Japan,4.0,,,,,True
4224,Nissin,men shokunin miso ramen,Bowl,Japan,5.0,,,,,False
4223,Acecook,gamushara seabura shoga shoyu ramen,Cup,Japan,3.5,,,,,False
4222,Maruchan,oshima miso ramen,Cup,Japan,3.25,,,,,False
4221,Sapporo Ichiban,cupstar hakata mizutaki style ramen,Cup,Japan,4.0,,,,,False
4220,Sakurai Foods,vegetarian shoyu ramen,Pack,Japan,4.0,,,,,False
4219,Thasiam,instant rice vermicelli with spicy herb soup,Pack,Thailand,3.75,,,,,True
4218,Instant Spreads,the original mix,Pack,United States,4.5,,,,,False
4217,Lin Jia Ya Tou,one noodle one soup spicy noodle,Cup,China,2.5,,,,,True
4216,Ocean's Halo,organic vegan thai coconut big bowl of noodles,Bowl,United States,2.0,,,,Beef,False
4215,Yuanxian,absolutely yummy hotpot sweet potato noodle,Pack,China,3.25,,,,,True
4214,Nongshim,angry chapaguri,Pack,United States,4.0,,,,,False
4213,Wei Lih,instant noodles with spicy hot pot flavor,Pack,Taiwan,2.75,,,,,True
4212,Nissin,cup noodles stir fry fiery korean chicken flavor,Cup,United States,3.75,,,,Chicken,False
4211,MAMA,pad thai meal kit,Pack,Thailand,5.0,,,,,False
4210,Nissin,cup noodles stir fry rice with noodles korean spicy beef,Cup,United States,3.75,,,,Beef,True
4209,Kings Noodle,hot sour,Other,China,0.0,,,,,True
4208,Acecook,dcupebitto kansyu toriton shio ramen,Cup,Japan,3.75,,,,,False
4207,Xijiu,xo sauce noodle,Pack,China,4.25,,,,,False
4206,Menraku,udon spicy kimchi jjigae taste,Bowl,United States,4.0,,,,,True
4205,Snapdragon,garlic pho,Other,United States,1.0,,,,,False
4204,Yopokki,kimchi rapokki,Cup,South Korea,4.0,,,,,True
4203,Maruchan,shiroi chikara mochi udon with kohaku mochi,Bowl,Japan,3.0,,,,,False
4202,Menraku,japanese ramen hot spicy flavor with chili garlic,Bowl,United States,3.75,,,,,True
4201,Itsuki,kumamoto red spicy ramen,Pack,Japan,5.0,,,,,True
4200,John's,beautiful hot sour noodles,Pack,Taiwan,5.0,,,,,True
4199,John's,taiwanese fried sauce noodles,Other,Taiwan,5.0,,,,,False
4198,John's,braised scallion oil noodles,Pack,Taiwan,5.0,,,,,False
4197,Yamamoto,rich chinese miso ramen,Bowl,Japan,3.0,,,,,False
4196,Lin Jia Ya Tou,one noodle one soup pepper noodle,Cup,China,4.0,,,,,True
4195,Sapporo Ichiban,pokemon noodle butter shoyu ramen,Cup,Japan,2.0,,,,,False
4194,Igarashi Seifun,kitakata curry flavor ramen,Pack,Japan,5.0,,,,,False
4193,Bull Head,dry noodle spicy sichuan pepper flavor,Pack,Taiwan,4.25,,,,,True
4192,NeoStar,ramen delight savory chicken,Bowl,United States,0.0,,,,Chicken,False
4191,Kung Fu Noodles,spicy duck blood with mung bean noodle soup,Other,Taiwan,4.75,,,,Duck,True
4190,A-Sha,meteor noodle with fried sauce,Pack,Taiwan,2.0,,,,,False
4189,Kings Noodle,chongqing instant pea noodles,Other,China,5.0,,,,,False
4188,Sapporo Ichiban,tabimen kyoto seabura shoyu ramen,Bowl,Japan,2.0,,,,,False
4187,Poco Kitchen,thai peanut saute,Pack,United States,3.75,,,,,False
4185,Myojo,sapporo ramen shingen koku miso flavor,Cup,Japan,4.0,,,,,False
4184,Poco Kitchen,pork ginger ramen,Pack,United States,5.0,,,,Pork,False
4183,Nissin,raoh mala tantan,Bowl,Japan,4.0,,,,,False
4182,MAMA,singapore noodles meal kit,Pack,Thailand,5.0,,,,,False
4181,Nissin,u f o rayu mayo soy sauce mazesoba,Tray,Japan,3.0,,,,,False
4180,Maruchan,qtta tarako butter cream flavor,Cup,Japan,4.25,,,,,False
4179,Sad Super Hot Noodles,spicy glass noodle soup,Pack,Taiwan,0.25,,,,,True
4178,Maruchan,gotsumori tonkotsu shoyu ramen,Bowl,Japan,2.5,,,,Pork,False
4177,Ramen Express By Chef Woo,shrimp flavor,Cup,United States,3.75,,,,Seafood,False
4176,Simply Food,chicken vermicelli with bamboo shoot,Bowl,Vietnam,2.0,,,,Chicken,False
4175,Peyoung,noodle,Bowl,Japan,5.0,,,,,False
4174,7 Select,cheese herbs pasta cup,Cup,United States,1.0,,,,,False
4173,Acecook,chiba hamaguri dashi shio,Bowl,Japan,1.5,,,,Pork,False
4172,Daikoku,kinemochi ramen,Bowl,Japan,1.0,,,,,False
4171,Nissin,kyoudon,Cup,Japan,2.5,,,,,False
4170,Sapporo Ichiban,maikohan hi hi kyoko miso ramen,Cup,Japan,4.0,,,,,False
4169,Maruchan,fuji no miya yakisoba,Tray,Japan,5.0,,,,,False
4168,Sugakiya Foods,ippin sozai toyama shiro ebi ramen,Bowl,Japan,3.5,,,,,False
4167,Myojo,megami cup noukou shoyu,Cup,Japan,4.0,,,,,False
4166,SesaOle,sesanood say spicy,Pack,United States,5.0,,,,,True
4165,Binh Tay,vegetarian pho noodle,Bowl,Vietnam,3.5,,,,,False
4164,JTM Food,xo sauce seafood noodle,Pack,China,5.0,,,,Seafood,False
4163,BAMAN,rice noodles hot sour,Bowl,China,4.25,,,,,True
4162,I'm E,choice for you spicy min saeng ramen,Pack,United States,5.0,,,,,True
4161,Qinsheng,shaanxi cold noodle hot spicy flavor,Pack,China,4.0,,,,,True
4160,Lin Jia Ya Tou,2x spicy salted egg flavor,Cup,China,5.0,,,,,True
4159,Naked Noodles,chinese style hot sour ramen noodles,Pack,United Kingdom,3.5,,,,,True
4158,Nissin,yakisoba u f o perori katsuo dashi sauce yakisoba,Cup,Japan,1.5,,,,,False
4157,Maruchan,qtta garlic cheese cream flavor,Cup,Japan,2.0,,,,,False
4156,Maruchan,kamodashi curry udon,Bowl,Japan,3.75,,,,,False
4155,Kung Fu Noodles,premium braised beef noodle soup,Other,Taiwan,5.0,,,,Beef,False
4154,Acecook,yonchan wonton men donburi kaisenjio,Bowl,Japan,2.5,,,,,False
4153,Nissin,cup noodles stir fry rice with noodles japanese teriyaki chicken flavor,Cup,United States,2.0,,,,Chicken,False
4152,Charming Couple,biang biang soybean paste flavor,Pack,Taiwan,3.5,,,,,False
4151,MIT,ginger sesame oil noodles,Pack,Taiwan,5.0,,,,,False
4150,7 Select,tomato basil pasta cup,Cup,United States,3.75,,,,,False
4149,Myojo,hybrid x scallop x chicken noodlevoice rich scallop soba,Bowl,Japan,5.0,,,,Mixed,False
4148,Menraku,japanese ramen shoyu tonkotsu taste,Bowl,United States,1.0,,,,Pork,False
4147,Naked Noodles,chinese style firecracker,Cup,United Kingdom,3.0,,,,,True
4146,Acecook,supercup max shoyu ramen,Bowl,Japan,3.5,,,,,False
4145,Prince Karsu,hello kitty chicken noodle soup,Cup,Taiwan,3.25,,,,Chicken,False
4144,Sugakiya Foods,nagoya kishimen,Bowl,Japan,3.0,,,,,False
4143,Charming Couple,biang biang garlic oil fermented tofu,Pack,Taiwan,3.75,,,,,False
4142,Baixiang,artificial pork bone soup flavor instant noodle,Bowl,China,2.5,,,,Mixed,False
4141,Sichuan Baijia,lanzhou artificial beef flavor noodle,Pack,China,5.0,,,,Beef,False
4140,Kang Shi Fu,braised artificial beef flavor,Bowl,United States,1.5,,,,Beef,False
4139,Prince Katsu,hello kitty spicy noodle soup,Cup,United States,3.5,,,,,True
4138,Paldo,teumsae stir fried ramen,Pack,United States,2.0,,,,,False
4137,Phonomenal,bowl chicken ,Bowl,United States,1.75,,,,Chicken,False
4136,Pot Noodle,lost the pot noodle roast chicken flavour,Pack,United Kingdom,3.5,,,,Chicken,False
4135,Menraku,japanese ramen chili tomato taste,Bowl,United States,3.5,,,,,False
4134,Freshramen4all.com,curry miso ramen,Pack,United States,4.75,,,,,False
4133,Freshramen4all.com,nagoya ramen,Pack,United States,5.0,,,,,False
4132,Nissin,cup noodles fish head curry flavour,Cup,Singapore,5.0,,,,Seafood,False
4131,Soupply,chicken pho bowl with real meat collagen,Bowl,United States,5.0,,,,Mixed,False
4130,Maruchan,instant lunch select hot spicy chicken flavor ramen noodle soup,Cup,United States,3.5,,,,Chicken,True
4129,Soupply,filet brisket pho bowl with real meat collagen,Bowl,United States,5.0,,,,Beef,False
4128,Paldo,teumsae cheese tteokbokki,Bowl,South Korea,4.5,,,,,False
4127,Sapporo Ichiban,cupstar shrimp tensoba,Cup,Japan,1.0,,,,Seafood,False
4126,Snapdragon,chicken ramen,Cup,United States,2.0,,,,Chicken,False
4125,Menraku,japanese ramen hokkaido style seafood with shrimp scallop soup,Bowl,United States,3.5,,,,Seafood,False
4124,Charming Couple,biang biang vegan sichuan pepper sesame,Pack,Taiwan,5.0,,,,,True
4123,GreeNoodle,yakisoba,Pack,United States,3.0,,,,,False
4122,Simply Food,hodl noodle,Bowl,Vietnam,3.75,,,,,False
4121,Sesaole,sesanood sesariginal,Pack,United States,5.0,,,,,False
4120,MIT,shallot sauce dry noodle,Pack,Taiwan,3.0,,,,,False
4119,Sapporo Ichiban,tonkotsu ramen japanese style noodles,Bowl,United States,4.5,,,,Pork,False
4118,Binh Tay,mi kiwi,Bowl,Vietnam,3.0,,,,,False
4117,Charming Couple,biang biang scallion chicken sauce,Pack,Taiwan,4.5,,,,Chicken,False
4116,immi,tom yum shrimp flavor ramen soup,Pack,United States,2.75,,,,Seafood,False
4115,Nan Chuan Dao Sheng,wuhan sesame hot sauce konjac rice noodle,Pack,China,4.5,,,,,True
4114,Naked,chinese style orange chicken flavor,Pack,United Kingdom,3.75,,,,Chicken,False
4113,Sapporo Ichiban,pokemon noodle salt seafood flavor,Cup,Japan,2.75,,,,Seafood,False
4112,Red Chef,hae bee hiam dried noodles,Pack,Malaysia,5.0,,,,,False
4111,immi,spicy beef flavor ramen soup,Pack,United States,3.75,,,,Beef,True
4110,Acecook,hello kitty kawaii tonkotsu noodle,Cup,Japan,3.75,,,,Pork,False
4109,Hi Lai Foods,lai noodle vegan sesame paste flavor,Pack,Taiwan,5.0,,,,,False
4108,Nissin,menya itto ramen,Bowl,Japan,4.5,,,,,False
4107,Myojo,bubuka style aburasoba 5th level spicy,Tray,Japan,2.5,,,,,True
4106,Best Wok,mi goreng black pepper seafood flavor,Pack,Indonesia,5.0,,,,Seafood,True
4105,Dara/Ciptarasa,mi goreng,Pack,Indonesia,5.0,,,,,False
4104,Best Wok,mi goreng original,Pack,Indonesia,5.0,,,,,False
4103,Dara/Ciptarasa,ayam bawang,Pack,Indonesia,5.0,,,,Chicken,False
4102,Best Wok,mi goreng hot spicy,Pack,Indonesia,5.0,,,,,True
4101,Nongshim,tonkotsu ramen with kuromayu black garlic oil,Bowl,United States,4.0,,,,Pork,False
4100,Vite Ramen,vegan white miso v1 3 prototype,Pack,United States,3.75,,,,,False
4099,Acecook,nomihosu ippai miso butter ramen,Cup,Japan,2.25,,,,,False
4098,Myojo,cold ramen soy sauce vinaigrette,Pack,United States,5.0,,,,,False
4097,Aces,sriracha ramen noodle soup extra spicy,Bowl,United States,3.75,,,,,True
4096,Artisan,instant noodles artificial beef flavor,Cup,China,3.5,,,,Beef,False
4095,Nissin,chow mein teiyaki chicken chow mein noodles,Tray,United States,3.75,,,,Chicken,False
4094,Vite Ramen,garlic pork tonkotsu v1 3 prototype,Pack,United States,5.0,,,,Pork,False
4093,Maruchan,menzukuri awase miso,Bowl,Japan,3.25,,,,,False
4092,Nissin,super gattai original cup noodle shio,Cup,Japan,3.75,,,,,False
4091,immi,black garlic chicken flavor ramen soup,Pack,United States,0.25,,,,Chicken,False
4090,Sapporo Ichiban,wakame soba aojiso dressing flavor,Cup,Japan,3.5,,,,,False
4089,Mr. HOO,rice noodle soup spicy shrimp flavor,Tray,United States,3.5,,,,Seafood,True
4088,Vite Ramen,roasted soy sauce chicken v1 3 prototype,Pack,United States,5.0,,,,Chicken,False
4087,Namchang,rice noodles classic flavor,Other,China,3.25,,,,,False
4086,Myojo,charumera donburi kumamoto ma yu tonkotsu ramen,Bowl,Japan,4.0,,,,Pork,False
4085,Seven&I,premium myojo ryu shanghai spicy miso ramen,Bowl,Japan,5.0,,,,,True
4084,Maruchan,fukuoka hen hakata yaki ramen,Tray,Japan,4.75,,,,,False
4083,Myojo,shigoku no ippai koku koebi tensoba,Cup,Japan,3.5,,,,,False
4082,MAMA,instant rice vermicelli chicken abalone flavor,Pack,Thailand,3.75,,,,Mixed,False
4081,Itsuki,small soy sauce nyumen,Bowl,Japan,3.25,,,,,False
4080,Ve Wong,artificial peppered beef flavor,Pack,Taiwan,3.5,,,,Beef,True
4079,Sokensha,germinated brown rice ramen,Pack,Japan,5.0,,,,,False
4078,Itomen,cup nyumen japanese style soup,Bowl,Japan,3.5,,,,,False
4077,Igarashi Seifun,shoyu ramen,Pack,Japan,4.5,,,,,False
4076,Nissin,cup noodles stir fry rice with noodles thai yellow curry flavor,Cup,United States,5.0,,,,,False
4075,Nissin,donbei tori paitan udon,Bowl,Japan,4.75,,,,,False
4074,Noodie,tonkotsu irresistible ramen,Cup,United States,4.0,,,,Pork,False
4073,Acecook,baby star pirikara chicken ramen,Cup,Japan,3.0,,,,Chicken,False
4072,iNoodle,flat noodle soy sauce flavor,Pack,Taiwan,3.25,,,,,False
4071,Artisan,chongqing style noodles,Cup,China,4.0,,,,,False
4070,KampongKu,curry seafood fried noodles,Pack,Malaysia,5.0,,,,Seafood,False
4069,Maruchan,kuroi buta curry yakisoba,Tray,Japan,4.75,,,,Pork,False
4068,Jongga,rabokki ganjang stir fried noodles with korean style teriyaki sauce,Cup,South Korea,4.5,,,,Chicken,False
4067,Noodie,smoky garlic irresistible ramen,Cup,United States,0.25,,,,,False
4066,Yumei,noodle with scallion sauce,Other,United States,3.0,,,,,False
4065,Marutai,aji yokatai kagoshima tonkotsu ramen,Bowl,Japan,3.25,,,,Pork,False
4064,Ramen Express By Chef Woo,hotter spicier chili ramen,Pack,United States,5.0,,,,,True
4063,Nissin,tokyo abura soba,Bowl,Japan,5.0,,,,,False
4062,A1,mi kari laksa curry laksa noodle,Pack,Malaysia,5.0,,,,,False
4061,Menraku,japanese ramen spicy sesame,Bowl,United States,3.75,,,,,True
4060,Nissin,raoh miso flavor ramen noodle soup,Pack,United States,4.5,,,,,False
4059,J-Basket,japanese style noodle soup curry flavor,Bowl,United States,4.5,,,,,False
4058,KampongKu,mamak fried noodles,Pack,Malaysia,3.75,,,,,False
4057,Ishimaru,kagoshima kibinago soy sauce ramen,Pack,Japan,5.0,,,,,False
4056,Acecook,nohara hiroshi addictive bean sprout miso ramen,Cup,Japan,3.75,,,,,False
4055,KampongKu,garlic black pepper fried noodles,Pack,Malaysia,5.0,,,,,True
4054,Peyoung,hell curry yakisoba,Tray,Japan,0.5,,,,,False
4053,Acecook,yuzu flavor maru uma somen noodle,Cup,Japan,0.5,,,,,False
4052,Shin Horng,pot burn noodles taiwanese minced pork flavor,Pack,Taiwan,2.25,,,,Pork,True
4051,Schylling,ramen noodlies,Pack,United States,5.0,,,,,False
4050,Mi Sedaap,korean spicy chicken mi goreng,Pack,Indonesia,5.0,,,,Chicken,True
4049,New Touch,chicken shio ramen,Bowl,Japan,5.0,,,,Chicken,False
4048,Kailo Brand,instant noodles chicken flavour,Bowl,China,1.0,,,,Chicken,False
4047,Myojo,charumera cup noodle aomori stamina sauce with garlic sweet soy sauce,Cup,Japan,3.0,,,,,False
4046,Little Q,true love spicy beef noodles,Other,Hong Kong,5.0,,,,Beef,True
4045,Thai Chef,shrimp tom yum flavor,Cup,Thailand,3.75,,,,Seafood,False
4044,Yamamoto,gomoku yasai ramen,Bowl,Japan,1.5,,,,,False
4043,Vite Ramen,vegan white miso v1 2,Pack,United States,4.0,,,,,False
4042,Lucky Me!,chickn mami export ,Cup,Philippines,4.0,,,,,False
4041,Maruchan,cold niku udon,Bowl,Japan,3.5,,,,,False
4040,Vite Ramen,fly by jing sichuan chili edition v1 2,Pack,United States,5.0,,,,,True
4039,Maruchan,minimaru somen,Cup,Japan,2.75,,,,,False
4038,Ichiran,instant noodles,Bowl,Japan,3.75,,,,,False
4037,Little Q,first love beef noodles,Other,Hong Kong,5.0,,,,Beef,False
4036,JAL,selection chanpon de sky,Cup,Japan,4.5,,,,,False
4035,Mr. Lee's,congee chicken congee rice porridge,Cup,United States,5.0,,,,Chicken,False
4034,Mr. Lee's,congee original congee rice porridge,Cup,United States,5.0,,,,,False
4033,Noodie,peanut chili irresistible ramen,Cup,United States,5.0,,,,,False
4032,Maruchan,instant lunch select chicken flavor,Cup,United States,3.5,,,,Chicken,False
4031,GB Company,devil of fire buldak,Pack,South Korea,3.5,,,,Chicken,True
4030,Yeomradaewang,spiciest ramen in the world,Pack,South Korea,4.0,,,,,False
4029,Myojo,tokyo charumera abura soba,Tray,Japan,3.0,,,,,False
4028,Acecook,mocchichi chicken salty lemon yakisoba,Cup,Japan,3.5,,,,Chicken,False
4027,Itsuki,green tea soba,Pack,Japan,3.75,,,,,False
4026,Nissin,cup noodle big fried chicken lemon,Cup,Japan,4.0,,,,Chicken,False
4025,Myojo,nagasaki champon creamy tonkotsu,Pack,United States,5.0,,,,Pork,False
4024,Nishiyama Seimen,shoyu ramen,Other,Japan,5.0,,,,,False
4023,Nishiyama Seimen,miso ramen,Other,Japan,5.0,,,,,False
4022,Yumei,night market chow mein soy sauce flavor,Other,China,3.5,,,,,False
4021,Myojo,yakisoba original sauce,Pack,United States,5.0,,,,,False
4020,Vite Ramen,grilled ribeye beef v1 2,Pack,United States,4.75,,,,Beef,False
4019,Marutai,umaoshi nagasaki champon,Cup,Japan,4.5,,,,Pork,False
4018,Myojo,okinawa soba light bonito flavor,Pack,United States,4.5,,,,Beef,False
4017,Aces,sriracha ramen noodle soup lobster,Bowl,United States,4.25,,,,Seafood,False
4016,Assi,hot spicy rice noodle soup bowl,Tray,United States,3.75,,,,Beef,True
4015,Vite Ramen,roasted soy sauce chicken v1 2,Pack,United States,5.0,,,,Chicken,False
4014,Sapporo Ichiban,shio ramen with lemon olive oil,Bowl,Japan,4.5,,,,,False
4013,Myojo,yakisoba savoru miso sauce,Pack,United States,5.0,,,,,False
4012,Lingzhu,hot spicy konjac liangpi,Cup,China,4.0,,,,,True
4011,Ve Wong,artificial chicken pork flavor instant noodle,Pack,Taiwan,4.0,,,,Mixed,False
4010,Yopokki,cheese rapokki,Pack,South Korea,5.0,,,,,False
4009,Mi Sedaap,selection korean spicy soup,Pack,Indonesia,5.0,,,,,True
4008,iNoodle,udon cooked noodles house special flavor,Pack,Taiwan,4.0,,,,,False
4007,Muso,organic ramen miso,Pack,United States,5.0,,,,,False
4006,Delling,korean style yukgaejang ramen,Cup,South Korea,3.5,,,,,False
4005,Thai Chef,artificial chicken flavor,Pack,Thailand,3.0,,,,Chicken,False
4004,Menraku,restaurant style ramen miso tonkotsu taste,Pack,United States,4.0,,,,Pork,False
4003,Vite Ramen,garlic pork tonkotsu v1 2,Pack,United States,3.75,,,,Pork,False
4002,Maruchan,qtta secret spicy miso,Cup,Japan,3.75,,,,,True
4001,Nissin,cup noodles pumpkin spice flavor,Cup,United States,5.0,,,,,False
4000,Peyoung,extra extra extra extra extra extra large portion yakisoba petamax,Tray,Japan,4.25,,,,,False
3999,Thai Town,tom yum flavor noodles,Pack,Taiwan,5.0,,,,,False
3998,Menraku,japanese ramen tonkotsu taste,Bowl,United States,3.75,,,,Pork,False
3997,Fashion Food,tom yum shrimp flavour instant noodles,Bowl,Thailand,3.75,,,,Seafood,False
3996,Nissin,cup noodles 5 spices beef,Cup,Germany,3.75,,,,Beef,False
3995,Ottogi,snack ramen,Cup,South Korea,3.25,,,,,False
3994,Baman,sour doujiao noodle,Other,China,5.0,,,,,False
3993,Nissin,cup noodles crab flavour,Cup,Hong Kong,3.75,,,,Seafood,False
3992,Thai Chef,artificial duck flavour,Cup,Thailand,3.5,,,,Duck,False
3991,Samyang Foods,buldak kimchi hot chicken flavored ramen,Pack,South Korea,4.5,,,,Chicken,True
3990,Sichuan Guangyou,chongqing instant noodle artificial beef flavor,Bowl,China,3.0,,,,Beef,False
3989,Indomie,instant noodles vegetable flavored,Pack,Indonesia,3.5,,,,,False
3988,Uncle Fun,hai nan fen,Pack,China,2.75,,,,,False
3987,Kenko Foods,shisen style spicy noodles,Pack,Japan,3.5,,,,,True
3986,Thai Chef,shrimp creamy tom yum flavour,Pack,Thailand,5.0,,,,Seafood,False
3985,Paldo,cheese ramyun,Pack,South Korea,5.0,,,,,False
3984,Vifon,kim chee flavor instant noodles,Bowl,Vietnam,3.5,,,,,False
3983,Shi Zu Ren,energy vegetarian beef flavor,Cup,China,4.5,,,,Beef,False
3982,Mamee,monster x daebak ghost pepper daging cendawan pedas,Pack,Malaysia,1.5,,,,,True
